Spalte 1,Spalte 2,Spalte 3,Spalte 4,Spalte 5,Spalte 6,Spalte 7,Spalte 8,Spalte 9,Spalte 10
143.36535174268084,70.99649758516347,406.2326472996592,835.3171806498883,107.59772386747046,346.59799938482763,544.4300290976946,511.7204214243957,438.0077967634804,263.08932547263277
852.6610906464855,630.5352353871948,4.401128522579123,56.351587233285926,630.0450140926548,728.0260752129617,384.4847855586132,503.78604785619996,197.32425794916253,649.8812265517538
952.7498686030641,145.42851200543194,156.86676230493134,996.6002734858979,884.6905523154021,251.85750723498944,926.5837581940784,67.22980287910352,697.5144670254072,521.6024853979977
306.60461123212025,633.5677967941352,727.1261266837015,82.23334400763838,965.9778278277449,285.979652755935,894.6131970295605,755.3056569694945,919.9628091755388,733.3218387641685
77.78133306209934,940.0718889367207,223.1398951190543,523.0881756126696,792.1896872438765,149.2739834022776,929.7248834036499,776.2489221984694,483.7448136087584,981.1204328003173
831.4977705055928,527.5966395711731,428.1468740618941,829.0178499184467,186.81634544460502,267.9385748404076,807.7446130600888,52.26684032628859,288.74930778364694,263.4118896331542
49.008378837192225,203.90842340676696,447.05100545436073,874.3697290581205,940.6665718885804,93.36564168242323,539.3002371541612,912.8047680669467,818.7917349518334,170.1363573508784
195.2128315541213,150.5529261513714,155.5513951050539,461.06936150133583,386.2959936617314,167.3689272047434,204.73416463110726,587.3708667462039,640.4928604162933,471.96953969032853
308.66667518326295,58.82091222830821,797.7610539246992,624.8501254946854,200.59504161491904,577.7221970713138,452.7518530825706,842.1205203971554,902.9510030870086,181.28938986645593
316.47502400639473,788.7925772802229,231.35876532236378,208.65720501243112,885.3762327298856,265.0432747895508,972.8140192007282,84.38528263186707,849.6834237327057,281.88102843774055
